,City Name,Latitude,Longitude,Tempurature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s)
0,Jamestown,-33.21,138.6,8.35,86,85,3.76
1,Estombar,37.43,-8.56,18.1,73,20,1.34
2,Nizhniy Chir,48.36,43.08,20.15,61,7,3.49
3,Saint-Philippe,45.36,-73.48,22.38,46,1,2.6
4,Barrow,-38.31,-60.23,14.75,93,100,6.26
5,Port Alfred,-33.59,26.89,16.11,88,100,0.89
6,Bathsheba,13.22,-59.52,30.0,70,20,10.8
7,Ushuaia,-54.81,-68.31,7.45,70,75,2.6
8,New Norfolk,-42.78,147.06,8.38,76,75,2.1
9,Bredasdorp,-34.53,20.04,9.02,87,50,1.5
10,Petropavlovsk-Kamchatskiy,53.05,158.65,8.0,75,75,5.0
11,Upernavik,72.79,-56.15,3.15,75,95,3.84
12,Albany,42.65,-73.75,23.0,47,75,1.5
13,Athens,34.8,-86.97,30.7,51,1,3.1
14,Hermanus,-34.42,19.24,11.15,93,33,1.34
15,Itarema,-2.92,-39.92,28.55,78,31,3.51
16,Georgetown,6.8,-58.16,29.93,70,40,6.2
17,Hirara,24.8,125.28,27.75,84,100,7.17
18,Hobart,-42.88,147.33,8.36,76,75,2.1
19,Mataura,-46.19,168.86,6.05,83,85,1.62
20,Talnakh,69.49,88.39,7.0,70,100,1.0
21,Xuddur,4.12,43.89,25.35,68,49,7.64
22,East London,-33.02,27.91,14.0,54,0,2.1
23,Tabalosos,-6.39,-76.63,17.0,290,75,2.1
24,Havelock,34.88,-76.9,30.56,59,1,6.2
25,Jalu,29.03,21.55,35.65,14,0,3.67
26,Bluff,-23.58,149.07,10.75,55,10,2.03
27,Mizdah,31.45,12.98,33.45,16,69,9.78
28,Rikitea,-23.12,-134.97,21.55,63,59,9.5
29,Marsabit,2.34,37.99,30.05,33,83,4.72
30,Guerrero Negro,27.97,-114.04,16.65,80,94,4.69
31,Saint Pete Beach,27.73,-82.74,29.71,70,75,3.1
32,Berdigestyakh,62.1,126.7,13.85,62,15,1.44
33,Faanui,-16.48,-151.75,27.25,78,76,10.6
34,Muros,42.77,-9.06,17.14,68,0,1.0
35,Ponta do Sol,-20.63,-46.0,22.05,55,37,2.78
36,Cherskiy,68.75,161.3,20.65,36,40,2.63
37,Zhigansk,66.77,123.37,13.05,49,47,3.59
38,Vaini,15.34,74.49,25.95,85,83,1.39
